Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included
The Cannon,"1498 Gordon St, Guelph",https://thecannon.ca/classified/housing/159711/,$920 month,9/Jun/2026,"Single, unfurnished, bedroom in condo/townhome available for rent.  Bedroom is located in the basement with an attached full bathroom.  Kitchen, living room, and laundry are shared spaces.  Rent does not include utilities and internet, which are",N/A,N/A,False
The Cannon,"1440 Gordon St, Guelph",https://thecannon.ca/classified/housing/159705/,$2300,9/Jun/2026,Two bedroom condo apartment available for September 1st!,N/A,N/A,False
The Cannon,"1284 Gordon St, Guelph",https://thecannon.ca/classified/housing/159695/,$2550 ($850 Per Room),9/Jun/2026,9 Month Lease Option Available!,N/A,N/A,False
The Cannon,"262 Colonial Dr, Guelph",https://thecannon.ca/classified/housing/159689/,$3000 ($750 Per Room),9/Jun/2026,9 Month Lease Option!,N/A,N/A,False
The Cannon,"53 Katemore Dr, Guelph",https://thecannon.ca/classified/housing/159683/,$4000 ($800 Per Room),9/Jun/2026,9 Month Lease Option!,N/A,N/A,False
The Cannon,"24 Moss Pl, Guelph",https://thecannon.ca/classified/housing/159545/,$950,9/Jun/2026,1 Bedroom available in a 3 bedroom 2 bathroom home. Sharing the common areas with 2 respectful roommates.,1,2,False
The Cannon,"803 Gordon St, Guelph",https://thecannon.ca/classified/housing/159666/,$650 including utilities,9/Jun/2026,"Looking for a sublet starting July 1st to August 31st. This townhouse is a 10-minute walk from UofG and a two-minute walk to get groceries. The sublet will only be for two months; during those two months, you won’t share it with anyone. Any gender",N/A,N/A,False
The Cannon,"302 College Ave W, Guelph",https://thecannon.ca/classified/housing/159660/,$850-1100 all inclusive,9/Jun/2026,2 rooms available. One is a large basement room with it’s own washroom and the other room is upstairs shared with 2 other females going into their 3rd year undergrad. Price discrepancy based on room size. Bus stop right outside that goes to campus.,N/A,N/A,False
The Cannon,"119 Edinburgh Rd N, Guelph",https://thecannon.ca/classified/housing/159653/,$2250,9/Jun/2026,"Spacious 1-bed + den, 1,000 sq ft | Sunny Acres Neighbourhood | All-inclusive $2,250/month",N/A,N/A,False
The Cannon,"45 Goodwin Dr, Guelph",https://thecannon.ca/classified/housing/159650/,$3100 plus utilities,9/Jun/2026,"Huge 3 Bedroom plus den spacious Condo for Rent | Students Welcome | Available immediately, flexible move in .",3,N/A,False
The Cannon,"31 Wyndham St N, Guelph",https://thecannon.ca/classified/housing/159645/,$900/incl water (hydro extra),9/Jun/2026,5-Bedroom Student Unit – Downtown Guelph,N/A,N/A,False
The Cannon,"135 King St, Guelph",https://thecannon.ca/classified/housing/159641/,$1450,9/Jun/2026,"Wifi and all utilities included with this lovely second floor bachelor in a century home. 20 seconds from front door to bus stop for UoG; 10 minute walk to the heart of downtown. Fully independent unit, no sharing of kitchen or bathroom facilities.",N/A,N/A,True
The Cannon,"625 Hanlon Rd, Guelph",https://thecannon.ca/classified/housing/159633/,$900,9/Jun/2026,Brand New 3-Bedroom Student Unit,N/A,N/A,False
The Cannon,"1 Evans Dr, Guelph",https://thecannon.ca/classified/housing/159622/,$2300,9/Jun/2026,"Huge 2 Bedrooms, bright, legal basement apartment for Rent – Guelph | Students Welcome | Available immediately, flexible move in",2,N/A,False
The Cannon,"1284 Gordon St, Guelph",https://thecannon.ca/classified/housing/159613/,$2200 plus utilities,9/Jun/2026,Spacious 1 Bedroom plus den spacious Condo on Gordon for Rent | Students Welcome | Available immediately,1,N/A,False
The Cannon,"107 Gosling Gardens, Guelph",https://thecannon.ca/classified/housing/159605/,$850-1100,9/Jun/2026,"South end of Guelph_2 bedrooms with 1 parking are available starting June 10, 2026",2,N/A,False
The Cannon,"178 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/159604/,$1000 (all inclusive),9/Jun/2026,"Two bedrooms available in a detached house on Harvard Road starting September 2026 (can start earlier as well), highly desirable location for students.",N/A,N/A,False
The Cannon,"26 Manitoba St, Guelph",https://thecannon.ca/classified/housing/159592/,$850/incl utils,9/Jun/2026,3 Rooms Available – Student House in Guelph,N/A,N/A,False
The Cannon,"51 Boulder Crescent, Guelph",https://thecannon.ca/classified/housing/159585/,$2550,9/Jun/2026,"Welcome to 51 Boulder Cres, a bright and spacious main unit of a bungalow in Guelphs sought-after South End, offering scenic ravine views and a peaceful setting. This home features three generously sized bedrooms, each with large windows that fill",N/A,N/A,False
The Cannon,"265 Cole Rd, Guelph",https://thecannon.ca/classified/housing/159579/,$3400,9/Jun/2026,Well kept and renovated 4 bedroom and 2 Full bath house available for Rent Sept 1 or earlier if needed. 3400+ utilities. 8 Month lease.,4,N/A,False
The Cannon,"18 Katemore Dr, Guelph",https://thecannon.ca/classified/housing/159573/,$1100,9/Jun/2026,An amazing large basement bedroom with access to an adjacent washroom located in an all girls 4 bedroom house. The basement bedroom is available as of August 01 on a 9 month lease term. The other three (3) bedrooms upstairs are leased out to second,4,N/A,False
The Cannon,"1219 Gordon St, Guelph",https://thecannon.ca/classified/housing/159569/,$870,9/Jun/2026,"One bedroom in a 4-bedroom, all FEMALE apartment at Solstice 2.",N/A,N/A,False
The Cannon,"29 Chartwell Crescent, Guelph",https://thecannon.ca/classified/housing/159559/,$900,9/Jun/2026,"🔥 2 BEDROOMS AVAILABLE NOW: All-Inclusive Student Living with 2 Kitchens, 2 Laundry Rooms, and a Group Sign-On Bonus!",2,N/A,False
The Cannon,"165 Arthur St N, Guelph",https://thecannon.ca/classified/housing/159557/,$899 +,9/Jun/2026,Stuck on the waitlist? We have a space for you!!,N/A,N/A,False
The Cannon,"1131 Gordon St, Guelph",https://thecannon.ca/classified/housing/159539/,$900-1300,8/Jun/2026,"This spacious 4-bedroom, 2.5-bathroom furnished home features an open-concept kitchen with new quartz countertops and ample cabinet space, separate living and dining areas. Recently updated bathrooms include a main-floor powder room and a full",N/A,N/A,False
The Cannon,"72 Glasgow St S, Guelph",https://thecannon.ca/classified/housing/159531/,$900,8/Jun/2026,"Hi, I am looking for a female to take over my lease until April 2027. It’s in a room with 2 other girls, and has on sight laundry, parking, and everything you need except the room is furnished! There is 2 cats that currently live here. The price is",N/A,N/A,False
The Cannon,"920 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159528/,$950 + util,8/Jun/2026,"Hello! I’m looking to fill one available bedroom in a well-kept townhouse in the quiet and peaceful neighbourhood at 920 Edinburgh Road South. The house is currently shared by 4 students (2 female, 2 male, each with private rooms) in a co-ed",N/A,N/A,False
